analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
operational_prevalence_sweep,all_minority_0.5,1,42,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8498168498168498,0.8263042513042513,0.16290335719236396,0.16772027269882314,0.5
operational_prevalence_sweep,all_minority_0.5,1,99,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8315018315018315,0.7562062120885649,0.17457866042281034,0.14599335851038206,0.5
operational_prevalence_sweep,all_minority_0.5,2,1,1,0.5,0.5,228,114,114,34,13,21,13,8,4,9,0.5,0.6470588235294118,0.5294117647058824,0.6923076923076923,0.6190476190476191,0.6556776556776557,0.7647058823529411,17,0.5,1.8888888888888888,0.6,0.6521739130434783,0.6666666666666666,0.6102711106287226,0.23049837270982132,0.262586598887163,0.5
operational_prevalence_sweep,all_minority_0.5,2,7,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6868131868131868,0.6200099475109271,0.21901300836354026,0.19681527860024395,0.5
operational_prevalence_sweep,all_minority_0.5,2,21,1,0.5,0.5,228,114,114,34,13,21,12,9,4,9,0.5,0.6176470588235294,0.5,0.6923076923076923,0.5714285714285714,0.6318681318681318,0.75,18,0.5294117647058824,2.0,0.5806451612903226,0.6428571428571429,0.7032967032967034,0.709192735847352,0.22222947787420905,0.17590194546124513,0.5
operational_prevalence_sweep,all_minority_0.5,2,42,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7032967032967034,0.6667053466505408,0.2206963320827093,0.18287116946542967,0.5
operational_prevalence_sweep,all_minority_0.5,2,99,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.695970695970696,0.6349021066338554,0.2165392490510556,0.11316685159416762,0.5
operational_prevalence_sweep,all_minority_0.5,3,1,1,0.5,0.5,228,114,114,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.6007326007326008,0.4861452792222023,0.2569370304485927,0.19217035744120092,0.5
operational_prevalence_sweep,all_minority_0.5,3,7,1,0.5,0.5,228,114,114,34,13,21,10,11,7,6,0.5,0.47058823529411764,0.35294117647058826,0.46153846153846156,0.47619047619047616,0.46886446886446886,0.5882352941176471,17,0.5,2.8333333333333335,0.4,0.43478260869565216,0.5970695970695972,0.47642884406042296,0.2634911219259861,0.30392545111039104,0.5
operational_prevalence_sweep,all_minority_0.5,3,21,1,0.5,0.5,228,114,114,34,13,21,12,9,6,7,0.5,0.5588235294117647,0.4375,0.5384615384615384,0.5714285714285714,0.554945054945055,0.6666666666666666,16,0.47058823529411764,2.2857142857142856,0.4827586206896552,0.5147058823529411,0.6080586080586081,0.5263445801071219,0.25087455691352584,0.138972228502526,0.5
