model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q10_Financial_Difficulty,0.0021287093,0.0057909176,0.004905841,0.0036563184,0.65625,32,4.08608e-05,0.0042165577,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q11_Internet_Access,-0.0011141444,0.0061783143,0.0047221793,0.0040539646,0.5,32,-0.0033416643,0.0011133754,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q12_Outside_Responsibilities,7.448e-07,0.0102834411,0.0070304317,0.0073978222,0.625,32,-0.0037068311,0.0037083207,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q13_Faculty,-0.0003397136,0.0088348836,0.0061703918,0.0062347715,0.4375,32,-0.0035250288,0.0028456017,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Institutional and programme context
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q14_Year,-0.0004973939,0.0082841695,0.0062544801,0.0053387674,0.53125,32,-0.0034841555,0.0024893677,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Institutional and programme context
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q16_Belonging,-0.0040054611,0.0151066164,0.0108911284,0.0110602032,0.40625,32,-0.0094519771,0.0014410549,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Social and institutional integration
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q7_PHQ2_Depressed,-0.0054318467,0.0526178408,0.0438242231,0.0285758245,0.5625,32,-0.0244026013,0.0135389079,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q8_GAD2_Nervous,-0.0128940927,0.0321618826,0.0257809282,0.0228015501,0.34375,32,-0.0244896879,-0.0012984975,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q9_GAD2_Worry,-0.0074619627,0.0369526208,0.0254441025,0.0274715659,0.59375,32,-0.0207848032,0.0058608778,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q10_Financial_Difficulty,-0.0044257195,0.014003709,0.01121765,0.009296656,0.40625,32,-0.009474595,0.000623156,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q11_Internet_Access,-0.0017710771,0.0060195084,0.0049393323,0.0037799969,0.28125,32,-0.0039413413,0.0003991871,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q12_Outside_Responsibilities,0.0008584111,0.0110552181,0.0091477082,0.0060496734,0.59375,32,-0.00312742,0.0048442423,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Structural and contextual barriers
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q13_Faculty,-0.0012888961,0.006623274,0.00536556,0.0039830492,0.40625,32,-0.003676841,0.0010990488,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Institutional and programme context
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q14_Year,-0.0011104172,0.0081902808,0.0068190335,0.0045115748,0.5,32,-0.0040633283,0.0018424939,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Institutional and programme context
