model,curve,x,y,threshold
B-TabPFN nested K,ROC,0.40669856459330145,0.7637795275590551,0.41552734375
B-TabPFN nested K,ROC,0.41148325358851673,0.7637795275590551,0.4150390625
B-TabPFN nested K,ROC,0.41148325358851673,0.7716535433070866,0.4139194190502167
B-TabPFN nested K,ROC,0.42105263157894735,0.7716535433070866,0.40966796875
B-TabPFN nested K,ROC,0.42105263157894735,0.7795275590551181,0.40932390093803406
B-TabPFN nested K,ROC,0.4258373205741627,0.7795275590551181,0.408654123544693
B-TabPFN nested K,ROC,0.4258373205741627,0.7874015748031497,0.4075702130794525
B-TabPFN nested K,ROC,0.44976076555023925,0.7874015748031497,0.39829060435295105
B-TabPFN nested K,ROC,0.44976076555023925,0.8188976377952756,0.3836385905742645
B-TabPFN nested K,ROC,0.47368421052631576,0.8188976377952756,0.3681640625
B-TabPFN nested K,ROC,0.47368421052631576,0.8267716535433071,0.36328125
B-TabPFN nested K,ROC,0.48325358851674644,0.8267716535433071,0.3603515625
B-TabPFN nested K,ROC,0.48325358851674644,0.8346456692913385,0.3601953685283661
B-TabPFN nested K,ROC,0.49760765550239233,0.8346456692913385,0.3523809611797333
B-TabPFN nested K,ROC,0.49760765550239233,0.84251968503937,0.3503853976726532
B-TabPFN nested K,ROC,0.507177033492823,0.84251968503937,0.34586283564567566
B-TabPFN nested K,ROC,0.507177033492823,0.8503937007874016,0.3424457013607025
B-TabPFN nested K,ROC,0.5263157894736842,0.8503937007874016,0.3385404050350189
B-TabPFN nested K,ROC,0.5263157894736842,0.8582677165354331,0.33772894740104675
B-TabPFN nested K,ROC,0.5454545454545454,0.8582677165354331,0.33056640625
B-TabPFN nested K,ROC,0.5454545454545454,0.8740157480314961,0.32600733637809753
B-TabPFN nested K,ROC,0.6028708133971292,0.8740157480314961,0.3053453862667084
B-TabPFN nested K,ROC,0.6028708133971292,0.8818897637795275,0.30322265625
B-TabPFN nested K,ROC,0.6076555023923444,0.8818897637795275,0.29802295565605164
B-TabPFN nested K,ROC,0.6076555023923444,0.8976377952755905,0.2978515625
B-TabPFN nested K,ROC,0.6076555023923444,0.905511811023622,0.2967033088207245
B-TabPFN nested K,ROC,0.631578947368421,0.905511811023622,0.2879121005535126
B-TabPFN nested K,ROC,0.631578947368421,0.9133858267716536,0.28044912219047546
B-TabPFN nested K,ROC,0.6363636363636364,0.9133858267716536,0.279296875
B-TabPFN nested K,ROC,0.6363636363636364,0.9212598425196851,0.27848726511001587
B-TabPFN nested K,ROC,0.6698564593301436,0.9212598425196851,0.26611328125
B-TabPFN nested K,ROC,0.6698564593301436,0.9291338582677166,0.26171875
B-TabPFN nested K,ROC,0.7320574162679426,0.9291338582677166,0.24627776443958282
B-TabPFN nested K,ROC,0.7320574162679426,0.937007874015748,0.2460017055273056
B-TabPFN nested K,ROC,0.7464114832535885,0.937007874015748,0.2420024424791336
B-TabPFN nested K,ROC,0.7464114832535885,0.9448818897637795,0.240351602435112
B-TabPFN nested K,ROC,0.8086124401913876,0.9448818897637795,0.22588522732257843
B-TabPFN nested K,ROC,0.8181818181818182,0.9448818897637795,0.22577495872974396
B-TabPFN nested K,ROC,0.8373205741626795,0.9448818897637795,0.21875
B-TabPFN nested K,ROC,0.8373205741626795,0.952755905511811,0.21826171875
B-TabPFN nested K,ROC,0.8708133971291866,0.952755905511811,0.20712803304195404
B-TabPFN nested K,ROC,0.8708133971291866,0.9606299212598425,0.20458984375
B-TabPFN nested K,ROC,0.8803827751196173,0.9606299212598425,0.20322225987911224
B-TabPFN nested K,ROC,0.8803827751196173,0.968503937007874,0.20273403823375702
B-TabPFN nested K,ROC,0.9090909090909091,0.968503937007874,0.19150494039058685
B-TabPFN nested K,ROC,0.9090909090909091,0.9763779527559056,0.19134637713432312
B-TabPFN nested K,ROC,0.9521531100478469,0.9763779527559056,0.17906169593334198
B-TabPFN nested K,ROC,0.9521531100478469,0.984251968503937,0.1786106675863266
