analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,balance
context_size_balance_by_k,balanced_50,5,99,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.73992673992674,0.6499186120896647,0.20222920205745468,0.0841389552635305,balanced_50
context_size_balance_by_k,balanced_50,5,99,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7582417582417582,0.6805056588710434,0.19721404479928312,0.1359117850661278,balanced_50
context_size_balance_by_k,balanced_50,6,1,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6483516483516484,0.714619291308819,0.210831217776563,0.2244425630744766,balanced_50
context_size_balance_by_k,balanced_50,6,1,20,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6556776556776557,0.70176068221609,0.20952559069126364,0.2028836301144432,balanced_50
context_size_balance_by_k,balanced_50,6,7,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6593406593406593,0.7023971301671161,0.2227677284688408,0.1926858731928994,balanced_50
context_size_balance_by_k,balanced_50,6,7,20,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6556776556776557,0.7111013415567493,0.21248088961043166,0.20950324088335037,balanced_50
context_size_balance_by_k,balanced_50,6,21,1,0.5,0.5,228,114,114,34,13,21,15,6,6,7,0.5,0.6470588235294118,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.6263736263736264,0.7142857142857143,13,0.38235294117647056,1.8571428571428572,0.5384615384615384,0.5384615384615384,0.6446886446886447,0.6900825753766928,0.22248670647616428,0.20379716201740153,balanced_50
context_size_balance_by_k,balanced_50,6,21,20,0.5,0.5,228,114,114,34,13,21,15,6,6,7,0.5,0.6470588235294118,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.6263736263736264,0.7142857142857143,13,0.38235294117647056,1.8571428571428572,0.5384615384615384,0.5384615384615384,0.6483516483516483,0.6948472551413727,0.21459434833761912,0.1795582552166546,balanced_50
context_size_balance_by_k,balanced_50,6,42,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6520146520146519,0.7176671367847838,0.21405155976151088,0.2175710643915569,balanced_50
context_size_balance_by_k,balanced_50,6,42,20,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6483516483516483,0.699181809475927,0.21329587982625553,0.18047051745302534,balanced_50
