model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,336,127,209,207,2,122,5,0.86,0.630952381,0.7142857143,0.0393700787,0.990430622,0.5149003504,0.6291793313,7,0.0208333333,1.4,0.0746268657,0.0485436893,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,122,5,0.87,0.630952381,0.7142857143,0.0393700787,0.990430622,0.5149003504,0.6291793313,7,0.0208333333,1.4,0.0746268657,0.0485436893,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,122,5,0.88,0.630952381,0.7142857143,0.0393700787,0.990430622,0.5149003504,0.6291793313,7,0.0208333333,1.4,0.0746268657,0.0485436893,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,124,3,0.89,0.625,0.6,0.0236220472,0.990430622,0.5070263346,0.6253776435,5,0.0148809524,1.6666666667,0.0454545455,0.0292397661,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,208,1,126,1,0.9,0.6220238095,0.5,0.0078740157,0.995215311,0.5015446634,0.622754491,2,0.005952381,2.0,0.015503876,0.0098039216,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,208,1,127,0,0.91,0.619047619,0.0,0.0,0.995215311,0.4976076555,0.6208955224,1,0.0029761905,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.92,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.93,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.94,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.95,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.96,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.97,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.98,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,209,0,127,0,0.99,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7525336247,0.6394063959,0.1918938649,0.0547169641
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.01,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.02,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.03,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.04,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.05,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.06,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.07,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.08,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.09,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.1,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
