analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
fixed_size_prevalence_sweep,fixed_n_228_0.4,10,7,1,0.4,0.3991228070175439,228,91,137,33,13,20,15,5,5,8,0.5,0.696969696969697,0.6153846153846154,0.6153846153846154,0.75,0.6826923076923077,0.75,13,0.3939393939393939,1.625,0.6153846153846154,0.6153846153846154,0.85,0.7664248762932973,0.1648970911017753,0.17169864746657287,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,10,21,1,0.4,0.3991228070175439,228,91,137,33,13,20,15,5,5,8,0.5,0.696969696969697,0.6153846153846154,0.6153846153846154,0.75,0.6826923076923077,0.75,13,0.3939393939393939,1.625,0.6153846153846154,0.6153846153846154,0.8730769230769231,0.8429888738712268,0.15048754707817755,0.2382002554156564,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,10,42,1,0.4,0.3991228070175439,228,91,137,33,13,20,16,4,5,8,0.5,0.7272727272727273,0.6666666666666666,0.6153846153846154,0.8,0.7076923076923077,0.7619047619047619,12,0.36363636363636365,1.5,0.64,0.625,0.8692307692307693,0.8165729820707195,0.15253796070331468,0.20869840094537442,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,10,99,1,0.4,0.3991228070175439,228,91,137,33,13,20,15,5,4,9,0.5,0.7272727272727273,0.6428571428571429,0.6923076923076923,0.75,0.7211538461538461,0.7894736842105263,14,0.42424242424242425,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.8653846153846154,0.8112179487179487,0.1525443151783879,0.1350266258373405,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.5,1,1,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8461538461538463,0.8132607732286636,0.1688805713454193,0.11011129310902429,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,1,7,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8278388278388279,0.7794245640399486,0.17468919214669115,0.12394542247056958,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,1,21,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.8351648351648352,0.788265819148172,0.16937182182488061,0.13532898312105854,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,1,42,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8498168498168498,0.8263042513042513,0.16290335719236396,0.16772027269882314,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,1,99,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8315018315018315,0.7562062120885649,0.17457866042281034,0.14599335851038206,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,2,1,1,0.5,0.5,228,114,114,34,13,21,13,8,4,9,0.5,0.6470588235294118,0.5294117647058824,0.6923076923076923,0.6190476190476191,0.6556776556776557,0.7647058823529411,17,0.5,1.8888888888888888,0.6,0.6521739130434783,0.6666666666666666,0.6102711106287226,0.23049837270982132,0.262586598887163,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,2,7,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6868131868131868,0.6200099475109271,0.21901300836354026,0.19681527860024395,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,2,21,1,0.5,0.5,228,114,114,34,13,21,12,9,4,9,0.5,0.6176470588235294,0.5,0.6923076923076923,0.5714285714285714,0.6318681318681318,0.75,18,0.5294117647058824,2.0,0.5806451612903226,0.6428571428571429,0.7032967032967034,0.709192735847352,0.22222947787420905,0.17590194546124513,0.50
