outer_fold,inner_fold,K,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
4,3,15,60,22,38,26,12,2,20,0.5,0.7666666667,0.625,0.9090909091,0.6842105263,0.7966507177,0.9285714286,32,0.5333333333,1.6,0.7407407407,0.8333333333,0.8684210526,0.7494971382,0.1748768621,0.1922610829
4,3,20,60,22,38,26,12,2,20,0.5,0.7666666667,0.625,0.9090909091,0.6842105263,0.7966507177,0.9285714286,32,0.5333333333,1.6,0.7407407407,0.8333333333,0.8696172249,0.7517698655,0.1744306114,0.2002252323
4,4,1,60,23,37,31,6,9,14,0.5,0.75,0.7,0.6086956522,0.8378378378,0.723266745,0.775,20,0.3333333333,1.4285714286,0.6511627907,0.625,0.7626321974,0.6339484721,0.1949011715,0.14652335
4,4,5,60,23,37,32,5,9,14,0.5,0.7666666667,0.7368421053,0.6086956522,0.8648648649,0.7367802585,0.7804878049,19,0.3166666667,1.3571428571,0.6666666667,0.6306306306,0.7626321974,0.6161277874,0.1956670255,0.1665472378
4,4,10,60,23,37,32,5,10,13,0.5,0.75,0.7222222222,0.5652173913,0.8648648649,0.7150411281,0.7619047619,18,0.3,1.3846153846,0.6341463415,0.5909090909,0.7661574618,0.6281869991,0.1967626741,0.1494197053
4,4,15,60,23,37,32,5,9,14,0.5,0.7666666667,0.7368421053,0.6086956522,0.8648648649,0.7367802585,0.7804878049,19,0.3166666667,1.3571428571,0.6666666667,0.6306306306,0.7638072855,0.6181402045,0.1960144435,0.1896563592
4,4,20,60,23,37,32,5,10,13,0.5,0.75,0.7222222222,0.5652173913,0.8648648649,0.7150411281,0.7619047619,18,0.3,1.3846153846,0.6341463415,0.5909090909,0.7649823737,0.618879027,0.1971340691,0.1455934405
4,5,1,60,23,37,26,11,10,13,0.5,0.65,0.5416666667,0.5652173913,0.7027027027,0.633960047,0.7222222222,24,0.4,1.8461538462,0.5531914894,0.5603448276,0.7032902468,0.6868298624,0.2145564787,0.1210356084
4,5,5,60,23,37,27,10,9,14,0.5,0.6833333333,0.5833333333,0.6086956522,0.7297297297,0.669212691,0.75,24,0.4,1.7142857143,0.5957446809,0.6034482759,0.7262044653,0.6982204607,0.2074573625,0.1005859142
4,5,10,60,23,37,27,10,9,14,0.5,0.6833333333,0.5833333333,0.6086956522,0.7297297297,0.669212691,0.75,24,0.4,1.7142857143,0.5957446809,0.6034482759,0.7262044653,0.6986948543,0.2054269036,0.1541071432
4,5,15,60,23,37,27,10,9,14,0.5,0.6833333333,0.5833333333,0.6086956522,0.7297297297,0.669212691,0.75,24,0.4,1.7142857143,0.5957446809,0.6034482759,0.7297297297,0.7046939249,0.2049159444,0.146781494
4,5,20,60,23,37,26,11,9,14,0.5,0.6666666667,0.56,0.6086956522,0.7027027027,0.6556991774,0.7428571429,25,0.4166666667,1.7857142857,0.5833333333,0.5982905983,0.7273795535,0.7019172414,0.207531014,0.141071898
5,1,1,61,23,38,27,11,6,17,0.5,0.7213114754,0.6071428571,0.7391304348,0.7105263158,0.7248283753,0.8181818182,28,0.4590163934,1.6470588235,0.6666666667,0.7083333333,0.7768878719,0.660156578,0.2062413118,0.1970376766
5,1,5,61,23,38,29,9,6,17,0.5,0.7540983607,0.6538461538,0.7391304348,0.7631578947,0.7511441648,0.8285714286,26,0.4262295082,1.5294117647,0.693877551,0.7203389831,0.7837528604,0.6666676288,0.2007684756,0.162485463
5,1,10,61,23,38,29,9,6,17,0.5,0.7540983607,0.6538461538,0.7391304348,0.7631578947,0.7511441648,0.8285714286,26,0.4262295082,1.5294117647,0.693877551,0.7203389831,0.790617849,0.6704053948,0.1986705955,0.1801670985
5,1,15,61,23,38,29,9,6,17,0.5,0.7540983607,0.6538461538,0.7391304348,0.7631578947,0.7511441648,0.8285714286,26,0.4262295082,1.5294117647,0.693877551,0.7203389831,0.7883295195,0.6676554832,0.1985582999,0.1694563679
5,1,20,61,23,38,29,9,6,17,0.5,0.7540983607,0.6538461538,0.7391304348,0.7631578947,0.7511441648,0.8285714286,26,0.4262295082,1.5294117647,0.693877551,0.7203389831,0.7860411899,0.6645122866,0.198054684,0.1718954183
5,2,1,61,23,38,27,11,5,18,0.5,0.737704918,0.6206896552,0.7826086957,0.7105263158,0.7465675057,0.84375,29,0.4754098361,1.6111111111,0.6923076923,0.7438016529,0.8112128146,0.7271157091,0.1847576097,0.220372233
5,2,5,61,23,38,27,11,5,18,0.5,0.737704918,0.6206896552,0.7826086957,0.7105263158,0.7465675057,0.84375,29,0.4754098361,1.6111111111,0.6923076923,0.7438016529,0.828375286,0.7490455643,0.1757374851,0.1849848467
